feature,importance
precip_7day_avg,789.4650075106571
pressure,667.3673691352209
precipitation,617.5973124463732
temp_3day_avg,569.2285350263119
evaporation,540.6720320891278
day_of_year,435.73519456821185
humidity,418.6284013179441
precip_3day_avg,418.04206855719286
wind_speed,415.97362405682605
soil_3day_avg,407.8784353422622
temperature,406.0636763116345
soil_moisture,256.9714722832044
year,96.87378431732456
month,22.197622540096443
avg_elevation_m,8.586769578357538
is_monsoon,3.908406654993693
is_missing_precipitation,0.8620999654134115
