feature,importance
water_area_km2_lag1_zscore,2582.7332654384554
water_area_km2_lag1,2429.725527491404
water_area_km2_lag3,1414.5397364952678
water_area_km2_lag2,1303.820761444091
water_area_km2_lag2_zscore,793.8283212770697
water_area_km2_lag3_zscore,564.6194887227146
pressure_drop_1day,124.51600747076104
temperature_7day_avg,66.31293667860133
soil_moisture_change_3day,59.394273092266786
precipitation_lag7,59.24932385722784
wind_speed,55.2321491866475
pressure_lag1,51.50336046491694
precipitation_lag3,43.356591255701154
precipitation_zscore,35.81982800560794
humidity_lag1,31.784375089036796
temperature_zscore,30.819766967545092
precip_change_1day,30.038396895798698
precipitation_lag2,29.694496537137514
evaporation,26.084644250075467
month,24.107836549444087
temperature,23.515783887197244
precipitation_lag5,22.220508360431683
precipitation,22.162727540344434
pressure_zscore,21.20976274315666
humidity_lag2,20.81484245789686
precipitation_14day_sum,18.942360692336468
precipitation_lag1,17.15027616174547
precipitation_7day_sum,16.255861225652655
avg_elevation_m,15.628981957848737
soil_moisture,14.839109573897359
soil_moisture_lag3,14.677419343685807
humidity,13.804163645484527
precipitation_30day_sum,13.001270881458439
days_in_monsoon,12.977626147567358
soil_moisture_lag2,12.818276093076483
pressure,10.073302444078825
soil_moisture_7day_avg,8.844831447761587
precipitation_3day_sum,7.8857430147416965
precip_x_soil_moisture,7.754971040373906
soil_moisture_lag1,6.045295154203855
soil_moisture_zscore,3.06153585702196
pressure_low_x_humidity_high,1.6911372293446523
days_since_dry_day,0.4190034943070107
precip_7day_x_monsoon,0.03845404822283408
is_missing_precipitation,0.0
is_monsoon,0.0
days_since_heavy_rain,0.0
