feature,mean_abs_shap
water_area_km2_lag14,0.9739525091771931
water_area_km2_lag1,0.42478961196180626
water_area_km2_lag14_zscore,0.30352235303833786
water_area_km2_lag1_zscore,0.3027105262236575
water_area_km2_lag3,0.16087096432654058
water_area_km2_lag7,0.0885738969848178
water_area_km2_lag7_zscore,0.08124710623855098
water_area_km2_lag3_zscore,0.06336174739700841
water_area_km2_lag2_zscore,0.04457669232188062
water_area_km2_lag2,0.0356694446054692
soil_moisture_change_3day,0.030326813270541188
precipitation_lag7,0.02226974562538279
water_area_km2_lag5_zscore,0.01971262119488119
precipitation_zscore,0.017591628094283013
precipitation_lag5,0.01649734399335169
precipitation_lag1,0.01616509433252227
humidity_lag2,0.0160936337365649
water_area_km2_lag5,0.01584139169697305
days_in_monsoon,0.013138208562561083
precip_change_1day,0.010730064749513041
pressure_drop_1day,0.009049096792901216
precipitation_lag2,0.008899132699241735
month,0.007447648300669153
wind_speed,0.007187210012294142
soil_moisture_7day_avg,0.0069942166316462094
evaporation,0.00699150181939582
precipitation_7day_sum,0.006721759679189477
precipitation_3day_sum,0.005823975315936535
soil_moisture_lag1,0.0057548847722013
humidity,0.005697967613816395
humidity_lag1,0.005550829451814126
precipitation_lag3,0.0050693815598482446
precipitation_14day_sum,0.004756912102462594
soil_moisture_lag2,0.004681208634679012
pressure_lag1,0.0045570054172629805
temperature,0.00455605744445055
soil_moisture_lag3,0.004493693131765753
precipitation_30day_sum,0.004396505737603673
pressure_zscore,0.0038934138325801815
precip_x_soil_moisture,0.0037693655567038165
soil_moisture,0.0035847688622769806
precipitation,0.003549288307144002
soil_moisture_zscore,0.0029418180588176527
temperature_7day_avg,0.002664096804949391
pressure,0.0026118847817779576
temperature_zscore,0.002492359326004083
avg_elevation_m,0.002049323919218155
precip_7day_x_monsoon,0.0018640876624366816
days_since_heavy_rain,0.0007087625983523321
is_monsoon,0.0
is_missing_precipitation,0.0
days_since_dry_day,0.0
pressure_low_x_humidity_high,0.0
