feature,importance
water_area_km2_lag14,10138.885169796646
water_area_km2_lag1,2572.8340177970626
water_area_km2_lag1_zscore,991.6781991471847
water_area_km2_lag14_zscore,644.2072284817696
water_area_km2_lag3,562.3034171213707
precip_7day_x_monsoon,292.98833334445953
water_area_km2_lag2,194.69538286328316
water_area_km2_lag5,193.42603296538195
water_area_km2_lag3_zscore,173.01039537787437
precipitation_lag5,149.61458322654167
water_area_km2_lag5_zscore,119.9320522447427
water_area_km2_lag7_zscore,112.3009463250637
soil_moisture_change_3day,111.50403191397588
evaporation,111.40145520369212
water_area_km2_lag2_zscore,109.71722708145778
pressure_drop_1day,91.29675175746281
wind_speed,72.9053713530302
soil_moisture_lag2,64.98696041107178
precipitation_7day_sum,58.83356444040934
water_area_km2_lag7,51.89634616176287
